tweet.id,tweet.user.username,tweet.date,tweet.lang,tweet.rawContent,label,score
1226656783902691333,rodthorn,2020-02-09 23:59:02+00:00,en,"@Diane_Ladd looks AMAZING! She is a stunning beauty and a great talent. Good luck to her daughter, @LauraDern",positive,0.985478401184082
1226633440319152128,lannibitch,2020-02-09 22:26:16+00:00,en,play laura dern song at my funeral,neutral,0.5386480093002319
1226652289428885504,radicalbast4rd,2020-02-09 23:41:10+00:00,en,just got a keychain with laura dern on it. love being an adult,positive,0.9391058683395386
1226671467800203265,rockleegustavo,2020-02-10 00:57:23+00:00,en,sinceramente just all of Laura Dern,neutral,0.7523254156112671
1226637772548706305,officialcnud,2020-02-09 22:43:29+00:00,en,i KNOW we all agree that laura dern.,neutral,0.6341918706893921
1226656558437654528,AwkwardArsic,2020-02-09 23:58:08+00:00,en,"1917, Laura Dern, Renee Zellweger are all pretty much guaranteed but here’s what I’m hoping wins. #Oscars2020. https://t.co/k08y7D4K6J",positive,0.650078296661377
1226645516743856128,littlelostsunny,2020-02-09 23:14:15+00:00,en,laura dern's first Oscar red carpet. https://t.co/7All38LHou,neutral,0.7028800249099731
1226651304388247553,Jess_Bautista,2020-02-09 23:37:15+00:00,en,My #Oscars ballot: (1/2) Best Picture: Parasite Director: Bong Joon Hoo Actor: Joaquin Phoenix Actress: Saoirse Ronan Supporting Actor: Brad Pitt Supporting Actress:  Laura Dern Cinematography: 1917 Original Screenplay: Once Upon A Time In Hollywood,neutral,0.6996493339538574
1226640991660232705,liambrady_,2020-02-09 22:56:16+00:00,en,God is a woman and that woman is Laura Dern,positive,0.6153605580329895
1226655828414955520,traingers,2020-02-09 23:55:14+00:00,en,laura dern brought mom &amp; daughter :) HER MOM WAS ALICE?,positive,0.7630108594894409
1226656140198633472,Thomas_Strong,2020-02-09 23:56:28+00:00,en,#LauraDern looking stunning on the red carpet! #Oscars https://t.co/UMWVnv1qs5,positive,0.9812089204788208
1226645609366478848,leshiaaimee,2020-02-09 23:14:37+00:00,en,@notacute I need him and Laura Dern to be in a movie I care about now,positive,0.646435558795929
1762329005930561774,StockheadAU,2024-02-27 04:09:12+00:00,en,Impact Minerals finds new proprietary metallurgical process that could make it cheaper to produce high purity alumina.,positive,0.6354765295982361
